n,cycles
1,69.3615
2,266.18
4,1010.59
8,4175.42
16,16183.7
32,65806.9
64,303967
128,1.48063e+06
256,6.40979e+06
512,2.71092e+07
1024,1.11792e+08
2048,4.41527e+08
4096,1.74919e+09
8192,6.9701e+09
16384,2.78605e+10
