n,cycles
1,72.5894
2,133.159
4,254.135
8,2270.26
16,11960.3
32,54224.2
64,235755
128,1.06436e+06
256,4.66912e+06
512,1.93531e+07
1024,7.85177e+07
2048,3.17119e+08
4096,1.262e+09
8192,5.22131e+09
16384,2.05322e+10
