n,cycles
4,792.14
8,2401.51
16,8488.24
32,32155.4
64,125718
128,494099
256,1.97202e+06
512,7.85021e+06
1024,3.13729e+07
2048,1.25467e+08
4096,5.00921e+08
8192,2.001e+09
16384,8.00316e+09
32768,3.19988e+10
