n,cycles
1,220.663
2,487.626
4,1094.19
8,4243.87
16,9549.15
32,34597.3
64,132206
128,514762
256,2.03567e+06
512,8.09925e+06
1024,3.20609e+07
2048,1.28846e+08
4096,5.12925e+08
8192,2.0473e+09
16384,8.21198e+09
32768,3.27988e+10
