n,cycles
1,211.485
2,459.388
4,998.023
8,3883.13
16,15344.7
32,61739.4
64,254049
128,1.05262e+06
256,4.50073e+06
512,1.87117e+07
1024,7.68478e+07
2048,3.20533e+08
4096,1.25353e+09
8192,5.12667e+09
16384,2.00401e+10
