n,cycles
1,231.15
2,510.55
4,1131.11
8,4448.67
16,10319
32,37690.1
64,143649
128,563065
256,2.22226e+06
512,8.84707e+06
1024,3.52374e+07
2048,1.40602e+08
4096,5.60525e+08
8192,2.24028e+09
16384,8.95675e+09
32768,3.91988e+10
