n,cycles
1,67.8539
2,288.294
4,1152.56
8,4431.51
16,17518.4
32,72273.5
64,322207
128,1.54631e+06
256,6.80109e+06
512,2.87568e+07
1024,1.17021e+08
2048,4.74231e+08
4096,1.8929e+09
8192,7.61517e+09
16384,3.03386e+10
